,delta_cost,delta_reward
0,0.0,0.0
1,2.394198752500782e-05,5.528056611099968e-06
2,4.7450340494232515e-05,3.05663897164559e-05
3,7.151933936768947e-05,8.571980186356093e-05
4,9.518977069232059e-05,8.670695482982879e-05
5,0.00011839834271706851,9.479804540635136e-05
6,0.00014213235102364646,0.00010987675348530081
7,0.00016600377668840463,0.00011866590732423582
8,0.0001898857509783393,0.00011735089128483663
9,0.00021331997834044035,0.00011902199514146698
10,0.0002370045220371213,0.0001205485541461697
11,0.00026056219700079826,0.0001262458166064234
12,0.0002843771731773567,0.00013919156152885942
13,0.00030798060638861187,0.00014620384002851238
14,0.00033142894612276297,0.00015130881070900536
15,0.00035546601388980123,0.0001540058409011795
16,0.0003788720165078031,0.00015724227713178853
17,0.00040289853564966487,0.00016303119870264408
18,0.0004265126601015411,0.0001972112097172924
19,0.000450172542800996,0.00019927717476042996
20,0.0004737900883843007,0.00020575004722164802
21,0.0004974887444530321,0.00021193382997901068
22,0.0005212474137568359,0.00022714297053783792
23,0.0005448402983429142,0.00023293189210869342
24,0.0005682216399636904,0.0002426412008005205
25,0.0005917757511804938,0.0002421546805034116
26,0.0006155766149850018,0.0002434309231735348
27,0.0006392858196789088,0.00024578597792052764
28,0.0006630337977420915,0.000251180038304876
29,0.0006864539127321425,0.00025461390512873867
30,0.0007101243440567739,0.0002510883791942742
31,0.0007338723221199574,0.00024878621018860716
32,0.0007578847288897692,0.0002411428665399177
33,0.0007812414095133184,0.00024727376355595436
34,0.0008050281609457777,0.00024835257563282404
35,0.0008285399350464306,0.0002512470364182519
36,0.0008526052275575685,0.00025002367948945444
37,0.0008759477958090681,0.0002602723942197164
38,0.0008995512290203228,0.0002615486368898396
39,0.0009235882967873607,0.00026370626104357895
40,0.0009469555260360864,0.00026856091538949255
41,0.0009706400697327682,0.00027023201924612295
42,0.000994151843833421,0.0002684692562788907
43,0.0010182065877193825,0.00027263995973444163
44,0.0010415350435988317,0.0002796522382340946
45,0.0010653887931446667,0.000280389074865783
46,0.0010889534529866457,0.00028632254128856626
47,0.0011127402044191041,0.00028740135336543593
48,0.0011362378661477074,0.0002890195714807404
49,0.00116022204817342,0.00028759878395868954
50,0.0011838678185008252,0.00028441523346940634
51,0.0012075877144353533,0.00028202140535313737
52,0.0012311382619052827,0.0002811400238695213
53,0.001254466717784732,0.0002824162665396446
54,0.0012781935985975625,0.00028442934584145627
55,0.0013021566833729221,0.0002880606432585724
56,0.0013256684574735758,0.00029129707948918144
57,0.0013493247764261567,0.0002939941096813556
58,0.0013729810953787384,0.00029257332215930473
59,0.0013968526636589408,0.00030179611055402287
60,0.0014206465425851463,0.0002980731540263048
61,0.0014439080003512232,0.000300770184218479
62,0.001467631317417178,0.00029934939669642795
63,0.001491315861113859,0.00029954682728968157
64,0.0015148664085837885,0.00030062563936655124
65,0.001538536839908419,0.00030548029371246484
66,0.0015626021324195577,0.00030567772430571845
67,0.001586300788488289,0.0003083747544978926
68,0.0016097596768476167,0.00030999297261319716
69,0.0016336275387654996,0.00031484762695911065
70,0.0016569947680142253,0.0003164658450744152
71,0.0016806651993388558,0.0003172026817061035
72,0.0017046106079952918,0.0003172026817061035
73,0.001727991949616068,0.0003220573360520171
74,0.001751754040051302,0.00032421496020575646
75,0.0017752517017799053,0.000325293772282626
76,0.0017988833597352583,0.00032960902059010473
77,0.0018228185049974106,0.0003451072508527874
78,0.0018462632809846877,0.0003461860629296572
79,0.0018703285734958264,0.0003463834935229106
80,0.0018938791209657541,0.0003424631064019391
81,0.0019176799847702621,0.0003405029128414534
82,0.0019409308939111608,0.000343397373626881
83,0.001964759982459768,0.0003450155917421856
84,0.00198823654693802,0.00034163461065964877
85,0.0020121749707161553,0.00033075483078035017
86,0.0020358877391569354,0.00033310988552734324
87,0.0020595088484871155,0.00033688572779638716
88,0.0020831229729389913,0.00034139840669711937
89,0.002106818065260847,0.00034301662481242394
90,0.002130245307744647,0.00034395089203736583
91,0.002154296487883735,0.0003444902980758006
92,0.0021777024905017366,0.0003450297041142356
93,0.0022012530379716642,0.00034664792222953997
94,0.0022252161227470264,0.00034542456530074273
95,0.0022486503501091253,0.00034866100153135165
96,0.0022726345321348387,0.00034973981360822144
97,0.0022962520777181448,0.00034973981360822144
98,0.002319777964190849,0.00034581942648724995
99,0.002343409622146202,0.0003479770506409893
100,0.002367118826840108,0.00034959526875629366
101,0.0023907751457926917,0.000351752892910033
102,0.002414466816983119,0.0003573443838876349
103,0.0024383382426478757,0.0003580812205193234
104,0.0024618641291205817,0.0003582786511125769
105,0.002485615670930634,0.00035793667566739573
106,0.0025089687878073128,0.0003584760817058305
107,0.002532967082205073,0.0003595548937827001
108,0.0025563484238258476,0.00036117311189800465
109,0.0025800717408918043,0.0003627913300133092
110,0.0026037139474723373,0.0003644095481286138
111,0.0026273561540528702,0.0003644095481286138
112,0.002651372124569555,0.00036656717228235314
113,0.002674806351931654,0.0003676459843592227
114,0.0026983568994015834,0.0003676459843592227
115,0.002722341081427297,0.0003681853903976575
116,0.002745986851754702,0.00037034301455139685
117,0.002769734829817884,0.0003694616330677808
118,0.0027930245123280566,0.00037215866325995513
119,0.002816772490391242,0.0003726980692983899
120,0.002840259603494667,0.00037073787573790407
121,0.002864113353040501,0.00037235609385320864
122,0.0028877415898644274,0.0003704487860340487
123,0.002911686998520867,0.0003709881920724835
124,0.002935159999252243,0.0003711856226657372
125,0.0029588411218174973,0.0003803555253191294
126,0.0029825890998806774,0.0003825131494728688
127,0.0030059951024986806,0.00038305255551130356
